Id,Name,ListHeaderId,Item,Uprice,Uom,MinQty,MaxQty,StartDateActive,CreatedAt,UpdatedAt
19340,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79362/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:52.7172639,NULL
19813,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79615/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:45:05.3005000,NULL
19917,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79651/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:45:05.3005154,NULL
20082,INC - ECOMMERCE WEB SALES - MTO,2407721,PCFA90132/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:45:05.3005359,NULL
20145,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49276/BXC,32.89,LBS,25,99999,01/05/2023 00:00:00,2025-02-22 08:45:05.3005442,NULL
20197,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA73226/BXC,33.99,LBS,25,99999,05/03/2023 00:00:00,2025-02-22 08:45:05.3005503,NULL
20281,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49553/BXC,32.89,LBS,25,99999,04/10/2023 00:00:00,2025-02-22 08:45:16.1350055,NULL
20286,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49509/BXC,33.99,LBS,25,99999,04/10/2023 00:00:00,2025-02-22 08:45:16.1350064,NULL
20360,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA30167/BXC,33.99,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350197,NULL
20430,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49572/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350308,NULL
20439,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA50434/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350322,NULL
20453,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59619/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350342,NULL
20462,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59621/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350353,NULL
20467,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA60319/BXC,33.99,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350361,NULL
20476,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA69415/BXC,33.99,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350373,NULL
20481,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA69419/BXC,33.99,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350380,NULL
20486,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA69421/BXC,33.99,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350388,NULL
20503,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA70654/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350412,NULL
20512,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79778/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350423,NULL
20517,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79779/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350429,NULL
20522,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79819/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350435,NULL
20547,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA89270/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350477,NULL
20556,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA89423/BXC,32.89,LBS,25,99999,07/08/2024 00:00:00,2025-02-22 08:45:16.1350489,NULL
20608,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA99189/BXC,32.89,LBS,25,99999,07/28/2023 00:00:00,2025-02-22 08:45:16.1350569,NULL
20617,INC - ECOMMERCE WEB SALES - MTO,2407721,PCSA70106/BXC,32.89,LBS,25,99999,08/16/2023 00:00:00,2025-02-22 08:45:16.1350582,NULL
20618,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA89179/BXC,32.89,LBS,25,99999,08/30/2023 00:00:00,2025-02-22 08:45:16.1350584,NULL
20619,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA90108/BXC,32.89,LBS,25,99999,08/30/2023 00:00:00,2025-02-22 08:45:16.1350585,NULL
20620,INC - ECOMMERCE WEB SALES - MTO,2407721,PCUA20102/BXC,32.89,LBS,25,99999,08/30/2023 00:00:00,2025-02-22 08:45:16.1350586,NULL
